X,Y,OBJECTID,name_e,nom_f,url_e,url_f,site_num_site,min_scale_echelle,max_scale_echelle,PreserveGlobal
-115.529861833042,51.1905087889485,1259813,Tunnel Mountain Trailer Court,,,,143,2000,,
-115.529382359898,51.1906007890412,1259814,Tunnel Mountain Trailer Court,,,,145,2000,,
-115.529439137492,51.1907566907707,1259815,Tunnel Mountain Trailer Court,,,,146,2000,,
-115.529066584097,51.1908003571679,1259816,Tunnel Mountain Trailer Court,,,,148,2000,,
-115.528717754963,51.1908862633293,1259817,Tunnel Mountain Trailer Court,,,,150,2000,,
-115.538913189014,51.1887490935107,1259818,Tunnel Mountain Trailer Court,,,,201,2000,,
-115.538987979882,51.1888941301273,1259819,Tunnel Mountain Trailer Court,,,,202,2000,,
-115.538158378581,51.1889114790361,1259820,Tunnel Mountain Trailer Court,,,,203,2000,,
-115.538295230924,51.1890462074029,1259821,Tunnel Mountain Trailer Court,,,,204,2000,,
-115.537642477834,51.1890491336747,1259822,Tunnel Mountain Trailer Court,,,,205,2000,,
-115.537649847186,51.1891823274924,1259823,Tunnel Mountain Trailer Court,,,,206,2000,,
-115.537082207327,51.1892970401338,1259824,Tunnel Mountain Trailer Court,,,,208,2000,,
-115.536554323641,51.1892827863554,1259825,Tunnel Mountain Trailer Court,,,,209,2000,,
-115.536561194624,51.1894088569212,1259826,Tunnel Mountain Trailer Court,,,,210,2000,,
-115.536035965193,51.1894000959063,1259827,Tunnel Mountain Trailer Court,,,,211,2000,,
-115.536083659378,51.1895339989233,1259828,Tunnel Mountain Trailer Court,,,,212,2000,,
-115.535653414635,51.1894731894012,1259829,Tunnel Mountain Trailer Court,,,,213,2000,,
-115.535728721587,51.1896016083194,1259830,Tunnel Mountain Trailer Court,,,,214,2000,,
-115.53532488207,51.1895631747016,1259831,Tunnel Mountain Trailer Court,,,,215,2000,,
-115.535365451363,51.1896745313817,1259832,Tunnel Mountain Trailer Court,,,,216,2000,,
-115.534764401848,51.18969484016,1259833,Tunnel Mountain Trailer Court,,,,217,2000,,
-115.534804090891,51.1898338981072,1259834,Tunnel Mountain Trailer Court,,,,218,2000,,
