X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Descr_e,Descr_f,min_scale_echelle,max_scale_echelle,D_Source,D_Source_Code,url_e,url_f,Principal_type
-72.9670436651317,46.649430341664,104670,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9167836284847,46.7724139994679,104671,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.8949954692149,46.7749039934492,104672,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.8881698535653,46.775264168052,104673,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.8349823843829,46.761985584741,104674,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 8,483)",,,,,,,,,Bridge//Pont
-72.8357334589703,46.7693884076082,104675,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.849458212534,46.7723920981817,104676,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.8643990953531,46.775155860275,104677,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.8815626247539,46.7740620646003,104678,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.8379483199533,46.7605207615991,104679,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.79460815551,46.7507388414954,104680,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 3,888 )
",,,,,,,,,Bridge//Pont
-73.013141273449,46.6667907235652,104681,Cave painting,Peinture rupestre,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.924482946248,46.7643014145405,104682,Lookout Étienne,Belvédère Sentier Etienne,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.9259225257674,46.764669503628,104683,Lookout Étienne,Belvédère Sentier Etienne,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.9252464274137,46.7648822315721,104684,Lookout Étienne,Belvédère Sentier Etienne,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.9275669443004,46.7665262025897,104685,Lookout Étienne,Belvédère Sentier Etienne,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.9259450410648,46.7668117903922,104686,Lookout Étienne,Belvédère Sentier Etienne,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.9289342053193,46.7684408558715,104687,Lookout Étienne,Belvédère Sentier Etienne,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0160077826858,46.6663365044755,104688,Lookout Les falaises,Belvédère Sentier Les falaises,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0125669716688,46.6705410494333,104689,Lookout Les falaises,Belvédère Sentier Les falaises,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0162383706666,46.6732521925476,104690,Lookout Les falaises,Belvédère Sentier Les falaises,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0336213108907,46.7086602191321,104691,Lookout Vide Bouteille,Belvédère Vide Bouteille,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0055492521515,46.7863162012684,104692,Lookout Vieux brulis,Belvédère Vieux brulis,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0424902960557,46.7705842516947,104693,Lookout Vieux brulis,Belvédère Vieux brulis ,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.1154313656284,46.7608657294491,104694,Lookout Vieux Charles,Belvédère Vieux Charles,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.1353413606014,46.766420635054,104695,Waber fall's,Chute Waber,,,,,,,,,,Waterfall//Chute d'eau
-72.9956694212848,46.7626311993547,104696,Lake Alphonse,Lac Alphonse,,,,,,,,,,Fishing//Pêche
-73.1214870870303,46.7878206605824,104697,Lake Anticagamac,Lac Anticagamac,,,,,,,,,,Fishing//Pêche
-72.9657717164005,46.8203889100035,104698,Archange Lake,Lac Archange,,,,,,,,,,Fishing//Pêche
-72.9580201492954,46.8155909023323,104699,Petit Archange Lake,Lac Petit Archange,,,,,,,,,,Fishing//Pêche
-73.0959713953504,46.7734070538939,104700,Lake Avalon,Lac Avalon,,,,,,,,,,Fishing//Pêche
-73.1219142832469,46.7240655318321,104701,Cobb Bay,Baie de Cobb,,,,,,,,,,Fishing//Pêche
-73.1061228482134,46.7393686522528,104702,Onze Ile Bay,Baie des Onze Iles,,,,,,,,,,Fishing//Pêche
-72.841691906085,46.7614684177937,104703,Lake Bouchard,Lac Bouchard,,,,,,,,,,Fishing//Pêche
-73.0333401164708,46.6812520930866,104704,Lake Boyer,Lac Boyer,,,,,,,,,,Fishing//Pêche
-73.0944884857851,46.7149750273767,104705,Lake Caribou,Lac du Caribou,,,,,,,,,,Fishing//Pêche
-73.0933163332504,46.7150339488116,104706,Lake Caribou,Lac du Caribou,,,,,,,,,,Fishing//Pêche
-72.8383215044254,46.7524089191834,104707,Lake Aux Chevaux,Lac aux Chevaux,,,,,,,,,,Fishing//Pêche
-72.9852441132472,46.8581476754772,104708,Lake des Cinqs,Lac des Cinqs,,,,,,,,,,Fishing//Pêche
-72.9620922816238,46.7825317409407,104709,Lake en Coeur,Lac en Coeur,,,,,,,,,,Fishing//Pêche
-72.969896703652,46.7620722524725,104710,Lake Écarté,Lac Écarté,,,,,,,,,,Fishing//Pêche
-72.9179069162753,46.7499182678389,104711,Lake Édouard,Lac Édouard,,,,,,,,,,Fishing//Pêche
-72.9732921729343,46.7808264204789,104712,Lake Formont,Lac Formont,,,,,,,,,,Fishing//Pêche
-72.8782813998627,46.7776973506912,104713,Lake du Fou,Lac du Fou,,,,,,,,,,Fishing//Pêche
-72.9473482815836,46.794055227697,104714,Lake Giron,Lac Giron,,,,,,,,,,Fishing//Pêche
-72.8418248427904,46.723421927261,104715,Lake Isaie,Lac Isaie,,,,,,,,,,Fishing//Pêche
-73.1519698300528,46.7427128978262,104716,Lake Maréchal,Lac Maréchal,,,,,,,,,,Fishing//Pêche
-72.8964520443868,46.7195266508004,104717,Lake Marie,Lac Marie,,,,,,,,,,Fishing//Pêche
-73.0429383442793,46.6864165059934,104718,Lake Modène,Lac Modène,,,,,,,,,,Fishing//Pêche
-72.8768638712356,46.6818348601076,104719,Lake Parker,Lac Parker,,,,,,,,,,Fishing//Pêche
-72.8574371630759,46.6775333307075,104720,Lake à la Pêche,Lac à la Pêche,,,,,,,,,,Fishing//Pêche
-72.8528345895872,46.7499653773102,104721,Lake Pimbina,Lac du Pimbina,,,,,,,,,,Fishing//Pêche
-72.9285088938863,46.7788606660477,104722,Lake Soumire,Lac Soumire,,,,,,,,,,Fishing//Pêche
-73.1543134978273,46.7622188686597,104723,Lake Waber,Lac Waber,,,,,,,,,,Fishing//Pêche
-73.0302149296521,46.7205887616307,104724,Lake Wapizagonke,Lac Wapizagonke,,,,,,,,,,Fishing//Pêche
-72.8101038777479,46.7560875386077,104725,Campground Rivière-à-la-Pêche,Camping Rivière-à-la-Pêche,,,,,,,,,,Camp//Campement
-72.9951906807796,46.6647384463194,104726,Campground Mistagance,Camping Mistagance,,,,,,,,,,Camp//Campement
-72.65895885292,46.396914812214,104727,Haut fourneau,Haut fourneau,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6572273222728,46.3982848429088,104728,Grande maison,Grande maison,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6576307091343,46.398660565727,104729,Remains of habitat and services,Vestiges du secteur habitat et services,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6576022748651,46.3983941790861,104730,Remains of habitat and services,Vestiges du secteur habitat et services,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.658244122142,46.3982087492404,104731,Remains of habitat and services,Vestiges du secteur habitat et services,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.65863813846,46.398257680966,104732,Remains of habitat and services,Vestiges du secteur habitat et services,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6587618313744,46.3980486351955,104733,Remains of habitat and services,Vestiges du secteur habitat et services,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6584288012585,46.3975114193453,104734,Vestige of the upper forge,Vestige de la forge haute,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.657147011153,46.3977709849555,104735,Remains of a mill,Vestiges d'un moulin,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
